"","ID","RegistrationNumber","BusinessTitle","IdLegislativePeriod","IdSession","Subject","SessionName"
"1",10254,6514,"Bundesgesetz über Massnahmen zur Wahrung der inneren Sicherheit. Änderung",49,4901,"Art. 18","Wintersession 2011"
"2",10255,6515,"Schaffung der Stelle eines Truppenombudsmanns im VBS",49,4901,"","Wintersession 2011"
"3",10256,6516,"Verbot der Gruppierung „Al-Qaïda“ und verwandter Organisationen",49,4901,"Gesamtabstimmung","Wintersession 2011"
"4",10260,6520,"Bahnreform 2",49,4901,"Art. 9a, Abs. 6","Wintersession 2011"
"5",10261,6521,"Energiegesetz. Änderung",49,4901,"Eintreten","Wintersession 2011"
"6",10262,6522,"Energiegesetz. Änderung",49,4901,"Gesamtabstimmung","Wintersession 2011"
"7",10263,6523,"Aus der Atomenergie aussteigen",49,4901,"Die Abstimmung gilt auch für die Mo. 11.3426 und die Mo. 11.3436","Wintersession 2011"
"8",10269,6529,"Mehr Transparenz bei der Herkunft der Brennstoffe für die Schweizer Kernkraftwerke",49,4901,"","Wintersession 2011"
"9",10270,6530,"Uno-Feuerwaffenprotokoll. Umsetzung. Waffengesetz. Änderung",49,4901,"Eintreten (gilt für Vorlage 1 und 2)","Wintersession 2011"
"10",10271,6531,"Uno-Feuerwaffenprotokoll. Umsetzung. Waffengesetz. Änderung",49,4901,"Gesamtabstimmung","Wintersession 2011"
"11",10272,6532,"Uno-Feuerwaffenprotokoll. Umsetzung. Waffengesetz. Änderung",49,4901,"Gesamtabstimmung","Wintersession 2011"
"12",10273,6533,"Uno-Feuerwaffenprotokoll. Umsetzung. Waffengesetz. Änderung",49,4901,"Art. 27, Abs. 4, Bst. e","Wintersession 2011"
"13",10274,6534,"Verfassungsgerichtsbarkeit",49,4901,"Eintreten (zusammen mit 07.476 behandelt)","Wintersession 2011"
"14",10275,6535,"Verfassungsgerichtsbarkeit",49,4901,"Gesamtabstimmung (zusammen mit 07.476 behandelt)","Wintersession 2011"
"15",10276,6536,"Überhöhte Lohnbezüge bei den Verwertungsgesellschaften. Ergänzung des Urheberrechtsgesetzes",49,4901,"","Wintersession 2011"
"16",10278,6538,"OR. Aktien- und Rechnungslegungsrecht",49,4901,"Art. 960e, Abs. 1","Wintersession 2011"
"17",10279,6539,"OR. Aktien- und Rechnungslegungsrecht",49,4901,"Art. 961c, Abs. 2, Ziff. 6","Wintersession 2011"
"18",10280,6540,"OR. Aktien- und Rechnungslegungsrecht",49,4901,"Art. 961d, Abs. 2, Ziff, 1","Wintersession 2011"
"19",10281,6541,"OR. Aktien- und Rechnungslegungsrecht",49,4901,"Art. 962a, Abs. 5","Wintersession 2011"
"20",10282,6542,"OR. Aktien- und Rechnungslegungsrecht",49,4901,"Art. 963b, Abs. 3","Wintersession 2011"
"21",10285,6545,"Indirekter Gegenentwurf zur Volksinitiative ""gegen die Abzockerei""",49,4901,"Art. 689, Abs. 3","Wintersession 2011"
"22",10286,6546,"Indirekter Gegenentwurf zur Volksinitiative ""gegen die Abzockerei""",49,4901,"Art. 689a, Abs. 1bis","Wintersession 2011"
"23",10288,6548,"Indirekter Gegenentwurf zur Volksinitiative ""gegen die Abzockerei""",49,4901,"Art. 731d, Abs. 2, Ziff. 3, 4, 4bis, und 5","Wintersession 2011"
"24",10289,6549,"Indirekter Gegenentwurf zur Volksinitiative ""gegen die Abzockerei""",49,4901,"Art. 731d, Abs. 3","Wintersession 2011"
"25",10290,6550,"Indirekter Gegenentwurf zur Volksinitiative ""gegen die Abzockerei""",49,4901,"Art. 731j, Abs. 2","Wintersession 2011"
"26",10291,6551,"Indirekter Gegenentwurf zur Volksinitiative ""gegen die Abzockerei""",49,4901,"Art. 731l, Abs. 1 und 2 (gilt auch für Art. Art. 626, Ziff. 8 und Art. 698, Abs. 2, Ziff. 4)","Wintersession 2011"
"27",10292,6552,"Indirekter Gegenentwurf zur Volksinitiative ""gegen die Abzockerei""",49,4901,"Art. 731, Abs. 1 und 2 (gilt auch für Art. 626, Ziff. 8 und Art. 698, Abs. 2, Ziff. 4)","Wintersession 2011"
"28",10293,6553,"Indirekter Gegenentwurf zur Volksinitiative ""gegen die Abzockerei""",49,4901,"Art. 731m, Abs. 2 und 3 (gilt auch für Art. 704, Abs. 1, Ziff. 9 und Art. 731d, Abs. 2, Ziff. 6)","Wintersession 2011"
"29",10298,6558,"Indirekter Gegenentwurf zur Volksinitiative ""gegen die Abzockerei""",49,4901,"Eintreten","Wintersession 2011"
"30",10306,6566,"Voranschlag 2012",49,4901,"11.196 Personalaufwand","Wintersession 2011"
"31",10307,6567,"Voranschlag 2012",49,4901,"11.196 Personalaufwand","Wintersession 2011"
"32",10308,6568,"Voranschlag 2012",49,4901,"11.196 Informatik","Wintersession 2011"
"33",10309,6569,"Voranschlag 2012",49,4901,"11.196 Beratungsaufwand","Wintersession 2011"
"34",10310,6570,"Voranschlag 2012",49,4901,"11.196 Übriger Betriebsaufwand","Wintersession 2011"
