"","ident","Successes","anwesend","valid","Sucess_share","enthaltung","Name","PersonNumber","ParlGroupName"
"170","Pierre-André Monnard_FDP-Liberale Fraktion",118,127,127,0.929133858267717,0,"Pierre-André Monnard",4147,"FDP-Liberale Fraktion"
"171","Pierre-François Veillon_Fraktion der Schweizerischen Volkspartei",412,600,580,0.686666666666667,20,"Pierre-François Veillon",1123,"Fraktion der Schweizerischen Volkspartei"
"172","Pierre Rusconi_Fraktion der Schweizerischen Volkspartei",407,698,669,0.583094555873925,29,"Pierre Rusconi",4048,"Fraktion der Schweizerischen Volkspartei"
"173","Pirmin Bischof_Fraktion CVP-EVP",4,4,4,1,0,"Pirmin Bischof",3871,"Fraktion CVP-EVP"
"174","Pirmin Schwander_Fraktion der Schweizerischen Volkspartei",307,736,731,0.417119565217391,5,"Pirmin Schwander",1159,"Fraktion der Schweizerischen Volkspartei"
"175","Prisca Birrer-Heimo_Sozialdemokratische Fraktion",610,722,687,0.844875346260388,35,"Prisca Birrer-Heimo",4030,"Sozialdemokratische Fraktion"
"176","Raymond Clottu_Fraktion der Schweizerischen Volkspartei",232,394,383,0.588832487309645,11,"Raymond Clottu",4135,"Fraktion der Schweizerischen Volkspartei"
"177","Rebecca Ana Ruiz_Sozialdemokratische Fraktion",261,293,285,0.890784982935154,8,"Rebecca Ana Ruiz",4143,"Sozialdemokratische Fraktion"
"178","Regula Rytz_Grüne Fraktion",557,699,643,0.796852646638054,56,"Regula Rytz",4095,"Grüne Fraktion"
"179","Roberta Pantani_Fraktion der Schweizerischen Volkspartei",436,705,672,0.618439716312057,33,"Roberta Pantani",4073,"Fraktion der Schweizerischen Volkspartei"
"180","Roger Golay_Fraktion der Schweizerischen Volkspartei",204,344,335,0.593023255813954,9,"Roger Golay",4137,"Fraktion der Schweizerischen Volkspartei"
"181","Roger Golay_Fraktionslos",4,6,5,0.666666666666667,1,"Roger Golay",4137,"Fraktionslos"
"182","Roger Nordmann_Sozialdemokratische Fraktion",608,717,686,0.847977684797768,31,"Roger Nordmann",1279,"Sozialdemokratische Fraktion"
"183","Roland F. Borer_Fraktion der Schweizerischen Volkspartei",362,671,634,0.539493293591654,37,"Roland F. Borer",26,"Fraktion der Schweizerischen Volkspartei"
"184","Roland Fischer_Grünliberale Fraktion",681,734,730,0.927792915531335,4,"Roland Fischer",4089,"Grünliberale Fraktion"
"185","Roland Rino Büchel_Fraktion der Schweizerischen Volkspartei",386,753,667,0.51261620185923,86,"Roland Rino Büchel",4025,"Fraktion der Schweizerischen Volkspartei"
"186","Rosmarie Quadranti_Fraktion BD",711,729,724,0.975308641975309,5,"Rosmarie Quadranti",4066,"Fraktion BD"
"187","Rudolf Joder_Fraktion der Schweizerischen Volkspartei",451,661,639,0.682299546142209,22,"Rudolf Joder",478,"Fraktion der Schweizerischen Volkspartei"
