"","ID","RegistrationNumber","BusinessTitle","IdLegislativePeriod","IdSession","Subject","SessionName"
"693",17359,13619,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Art. 196 Abs. 2ter","Sommersession 2016"
"694",17360,13620,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Art. 86 Abs. 2 Bst. b und g Und Art. 196 Abs. 2ter","Sommersession 2016"
"695",17361,13621,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Art. 86 Abs. 5","Sommersession 2016"
"696",17363,13623,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Art. 86 Abs. 6","Sommersession 2016"
"697",17366,13626,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Art. 131 Abs. 2 Bst. b (erster Teil des Satzes)","Sommersession 2016"
"698",17367,13627,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Art. 131 Abs. 2 Bst. b (neuer Zusatz)","Sommersession 2016"
"699",17369,13629,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Gesamtabstimmung","Sommersession 2016"
"700",17371,13631,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Art. 2 Abs. 2 Einleitungssatz und Bst. b und c","Sommersession 2016"
"701",17372,13632,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Art. 4 Abs. 2","Sommersession 2016"
"702",17373,13633,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Art. 5 Abs. 1 Bst. b","Sommersession 2016"
"703",17374,13634,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Art. 6 - Ausgabenbremse","Sommersession 2016"
"704",17375,13635,"Nationalstrassen- und Agglomerationsverkehrs-Fonds (NAF). Schliessung der Finanzierungslücke und Strategisches Entwicklungsprogramm Nationalstrassen",50,5004,"Art. 7 - Ausgabenbremse","Sommersession 2016"
