"","ident","Successes","anwesend","valid","Sucess_share","enthaltung","Name","PersonNumber","ParlGroupName"
"1","Ada Marra_Sozialdemokratische Fraktion",508,618,596,0.822006472491909,22,"Ada Marra",3923,"Sozialdemokratische Fraktion"
"2","Adèle Thorens Goumaz_Grüne Fraktion",514,627,598,0.819776714513557,29,"Adèle Thorens Goumaz",3907,"Grüne Fraktion"
"3","Adrian Amstutz_Fraktion der Schweizerischen Volkspartei",349,616,603,0.566558441558442,13,"Adrian Amstutz",1135,"Fraktion der Schweizerischen Volkspartei"
"4","Adrian Wüthrich_Sozialdemokratische Fraktion",168,197,189,0.852791878172589,8,"Adrian Wüthrich",4226,"Sozialdemokratische Fraktion"
"5","Albert Rösti_Fraktion der Schweizerischen Volkspartei",347,604,593,0.574503311258278,11,"Albert Rösti",4100,"Fraktion der Schweizerischen Volkspartei"
"6","Albert Vitali_FDP-Liberale Fraktion",529,569,565,0.929701230228471,4,"Albert Vitali",4054,"FDP-Liberale Fraktion"
"7","Alexander Tschäppät_Sozialdemokratische Fraktion",328,381,365,0.860892388451444,16,"Alexander Tschäppät",224,"Sozialdemokratische Fraktion"
"8","Alfred Heer_Fraktion der Schweizerischen Volkspartei",300,531,500,0.564971751412429,31,"Alfred Heer",3887,"Fraktion der Schweizerischen Volkspartei"
"9","Alice Glauser-Zufferey_Fraktion der Schweizerischen Volkspartei",377,587,570,0.642248722316865,17,"Alice Glauser-Zufferey",3883,"Fraktion der Schweizerischen Volkspartei"
"10","Aline Trede_Grüne Fraktion",153,209,198,0.732057416267943,11,"Aline Trede",4128,"Grüne Fraktion"
"11","Alois Gmür_CVP-Fraktion",592,611,607,0.968903436988543,4,"Alois Gmür",4096,"CVP-Fraktion"
"12","Andrea Gmür-Schönenberger_CVP-Fraktion",604,621,617,0.972624798711755,4,"Andrea Gmür-Schönenberger",4181,"CVP-Fraktion"
"13","Andrea Martina Geissbühler_Fraktion der Schweizerischen Volkspartei",358,582,564,0.615120274914089,18,"Andrea Martina Geissbühler",3880,"Fraktion der Schweizerischen Volkspartei"
"14","Andreas Aebi_Fraktion der Schweizerischen Volkspartei",376,589,553,0.638370118845501,36,"Andreas Aebi",3867,"Fraktion der Schweizerischen Volkspartei"
"15","Andreas Glarner_Fraktion der Schweizerischen Volkspartei",356,629,621,0.565977742448331,8,"Andreas Glarner",4161,"Fraktion der Schweizerischen Volkspartei"
"16","Angelo Barrile_Sozialdemokratische Fraktion",508,622,593,0.816720257234727,29,"Angelo Barrile",4203,"Sozialdemokratische Fraktion"
"17","Balthasar Glättli_Grüne Fraktion",503,630,605,0.798412698412698,25,"Balthasar Glättli",4093,"Grüne Fraktion"
"18","Barbara Gysi_Sozialdemokratische Fraktion",493,598,562,0.824414715719064,36,"Barbara Gysi",4121,"Sozialdemokratische Fraktion"
"19","Barbara Keller-Inhelder_Fraktion der Schweizerischen Volkspartei",372,633,620,0.587677725118483,13,"Barbara Keller-Inhelder",4165,"Fraktion der Schweizerischen Volkspartei"
"20","Barbara Schmid-Federer_CVP-Fraktion",405,414,411,0.978260869565217,3,"Barbara Schmid-Federer",3904,"CVP-Fraktion"
"21","Barbara Steinemann_Fraktion der Schweizerischen Volkspartei",356,622,617,0.572347266881029,5,"Barbara Steinemann",4174,"Fraktion der Schweizerischen Volkspartei"
"22","Bastien Girod_Grüne Fraktion",500,611,584,0.818330605564648,27,"Bastien Girod",3882,"Grüne Fraktion"
"23","Bea Heim_Sozialdemokratische Fraktion",501,614,563,0.815960912052117,51,"Bea Heim",1156,"Sozialdemokratische Fraktion"
"24","Beat Arnold_Fraktion der Schweizerischen Volkspartei",308,520,501,0.592307692307692,19,"Beat Arnold",4155,"Fraktion der Schweizerischen Volkspartei"
