"","ident","Successes","anwesend","valid","Sucess_share","enthaltung","Name","PersonNumber","ParlGroupName"
"25","Beat Flach_Grünliberale Fraktion",579,622,613,0.930868167202572,9,"Beat Flach",4059,"Grünliberale Fraktion"
"26","Beat Jans_Sozialdemokratische Fraktion",510,613,582,0.831973898858075,31,"Beat Jans",4032,"Sozialdemokratische Fraktion"
"27","Beat Walti_FDP-Liberale Fraktion",587,617,613,0.951377633711507,4,"Beat Walti",4142,"FDP-Liberale Fraktion"
"28","Benjamin Roduit_CVP-Fraktion",235,239,238,0.98326359832636,1,"Benjamin Roduit",4220,"CVP-Fraktion"
"29","Benoît Genecand_FDP-Liberale Fraktion",533,576,570,0.925347222222222,6,"Benoît Genecand",4191,"FDP-Liberale Fraktion"
"30","Bernhard Guhl_Fraktion BD",609,626,619,0.972843450479233,7,"Bernhard Guhl",4082,"Fraktion BD"
"31","Brigitte Crottaz_Sozialdemokratische Fraktion",183,227,212,0.806167400881057,15,"Brigitte Crottaz",4219,"Sozialdemokratische Fraktion"
"32","Bruno Pezzatti_FDP-Liberale Fraktion",564,616,608,0.915584415584416,8,"Bruno Pezzatti",4084,"FDP-Liberale Fraktion"
"33","Bruno Walliser_Fraktion der Schweizerischen Volkspartei",354,600,581,0.59,19,"Bruno Walliser",4177,"Fraktion der Schweizerischen Volkspartei"
"34","Carlo Sommaruga_Sozialdemokratische Fraktion",505,607,582,0.831960461285008,25,"Carlo Sommaruga",1120,"Sozialdemokratische Fraktion"
"35","Cédric Wermuth_Sozialdemokratische Fraktion",465,578,543,0.804498269896194,35,"Cédric Wermuth",4057,"Sozialdemokratische Fraktion"
"36","Céline Amaudruz_Fraktion der Schweizerischen Volkspartei",369,607,572,0.607907742998353,35,"Céline Amaudruz",4090,"Fraktion der Schweizerischen Volkspartei"
"37","Cesla Amarelle_Sozialdemokratische Fraktion",217,262,248,0.82824427480916,14,"Cesla Amarelle",4107,"Sozialdemokratische Fraktion"
"38","Chantal Galladé_Sozialdemokratische Fraktion",389,441,426,0.882086167800454,15,"Chantal Galladé",1125,"Sozialdemokratische Fraktion"
"39","Christa Markwalder_FDP-Liberale Fraktion",415,440,434,0.943181818181818,6,"Christa Markwalder",1139,"FDP-Liberale Fraktion"
"40","Christian Imark_Fraktion der Schweizerischen Volkspartei",356,618,600,0.576051779935275,18,"Christian Imark",4164,"Fraktion der Schweizerischen Volkspartei"
"41","Christian Lohr_CVP-Fraktion",581,593,588,0.979763912310287,5,"Christian Lohr",4118,"CVP-Fraktion"
"42","Christian Lüscher_FDP-Liberale Fraktion",579,605,599,0.95702479338843,6,"Christian Lüscher",3895,"FDP-Liberale Fraktion"
"43","Christian Wasserfallen_FDP-Liberale Fraktion",515,569,560,0.905096660808436,9,"Christian Wasserfallen",3912,"FDP-Liberale Fraktion"
"44","Christine Bulliard-Marbach_CVP-Fraktion",598,612,608,0.977124183006536,4,"Christine Bulliard-Marbach",4101,"CVP-Fraktion"
"45","Christine Häsler_Grüne Fraktion",335,391,379,0.856777493606138,12,"Christine Häsler",4149,"Grüne Fraktion"
"46","Christoph Eymann_FDP-Liberale Fraktion",543,561,560,0.967914438502674,1,"Christoph Eymann",74,"FDP-Liberale Fraktion"
"47","Claude Béglé_CVP-Fraktion",608,621,615,0.979066022544283,6,"Claude Béglé",4182,"CVP-Fraktion"
"48","Claudia Friedl_Sozialdemokratische Fraktion",522,631,596,0.827258320126783,35,"Claudia Friedl",4131,"Sozialdemokratische Fraktion"
"49","Claudio Zanetti_Fraktion der Schweizerischen Volkspartei",364,633,629,0.575039494470774,4,"Claudio Zanetti",4178,"Fraktion der Schweizerischen Volkspartei"
"50","Corina Eichenberger-Walther_FDP-Liberale Fraktion",577,608,604,0.949013157894737,4,"Corina Eichenberger-Walther",3875,"FDP-Liberale Fraktion"
"51","Corrado Pardini_Sozialdemokratische Fraktion",497,592,571,0.839527027027027,21,"Corrado Pardini",4045,"Sozialdemokratische Fraktion"
"52","Daniel Brélaz_Grüne Fraktion",463,567,544,0.81657848324515,23,"Daniel Brélaz",724,"Grüne Fraktion"
"53","Daniel Fässler_CVP-Fraktion",495,524,513,0.944656488549618,11,"Daniel Fässler",4056,"CVP-Fraktion"
"54","Daniel Frei_Grünliberale Fraktion",43,47,45,0.914893617021277,2,"Daniel Frei",4227,"Grünliberale Fraktion"
"55","Daniel Frei_Sozialdemokratische Fraktion",70,83,80,0.843373493975904,3,"Daniel Frei",4227,"Sozialdemokratische Fraktion"
"56","Daniel Jositsch_Sozialdemokratische Fraktion",8,9,8,0.888888888888889,1,"Daniel Jositsch",3891,"Sozialdemokratische Fraktion"
"57","Daniela Schneeberger_FDP-Liberale Fraktion",589,632,629,0.931962025316456,3,"Daniela Schneeberger",4060,"FDP-Liberale Fraktion"
"58","David Zuberbühler_Fraktion der Schweizerischen Volkspartei",367,636,630,0.577044025157233,6,"David Zuberbühler",4179,"Fraktion der Schweizerischen Volkspartei"
"59","Denis de la Reussille_Grüne Fraktion",499,617,588,0.808752025931929,29,"Denis de la Reussille",4201,"Grüne Fraktion"
"60","Diana Gutjahr_Fraktion der Schweizerischen Volkspartei",186,269,268,0.691449814126394,1,"Diana Gutjahr",4216,"Fraktion der Schweizerischen Volkspartei"
"61","Dominique de Buman_CVP-Fraktion",444,461,454,0.963123644251627,7,"Dominique de Buman",1124,"CVP-Fraktion"
"62","Doris Fiala_FDP-Liberale Fraktion",486,509,504,0.954813359528487,5,"Doris Fiala",3877,"FDP-Liberale Fraktion"
"63","Duri Campell_Fraktion BD",596,608,605,0.980263157894737,3,"Duri Campell",4200,"Fraktion BD"
"64","Edith Graf-Litscher_Sozialdemokratische Fraktion",528,624,592,0.846153846153846,32,"Edith Graf-Litscher",1295,"Sozialdemokratische Fraktion"
"65","Elisabeth Schneider-Schneiter_CVP-Fraktion",593,602,599,0.985049833887043,3,"Elisabeth Schneider-Schneiter",4040,"CVP-Fraktion"
"66","Eric Nussbaumer_Sozialdemokratische Fraktion",496,593,565,0.836424957841484,28,"Eric Nussbaumer",3899,"Sozialdemokratische Fraktion"
"67","Erich Hess_Fraktion der Schweizerischen Volkspartei",288,616,610,0.467532467532468,6,"Erich Hess",4163,"Fraktion der Schweizerischen Volkspartei"
"68","Erich von Siebenthal_Fraktion der Schweizerischen Volkspartei",374,597,578,0.626465661641541,19,"Erich von Siebenthal",3910,"Fraktion der Schweizerischen Volkspartei"
"69","Evi Allemann_Sozialdemokratische Fraktion",350,403,385,0.86848635235732,18,"Evi Allemann",1131,"Sozialdemokratische Fraktion"
"70","Fabian Molina_Sozialdemokratische Fraktion",160,213,204,0.751173708920188,9,"Fabian Molina",4223,"Sozialdemokratische Fraktion"
"71","Fabio Regazzi_CVP-Fraktion",604,630,617,0.958730158730159,13,"Fabio Regazzi",4072,"CVP-Fraktion"
"72","Fathi Derder_FDP-Liberale Fraktion",590,609,605,0.9688013136289,4,"Fathi Derder",4079,"FDP-Liberale Fraktion"
"73","Felix Müri_Fraktion der Schweizerischen Volkspartei",360,617,608,0.583468395461912,9,"Felix Müri",1111,"Fraktion der Schweizerischen Volkspartei"
"74","Flavia Wasserfallen_Sozialdemokratische Fraktion",172,215,202,0.8,13,"Flavia Wasserfallen",4224,"Sozialdemokratische Fraktion"
"75","Franz Grüter_Fraktion der Schweizerischen Volkspartei",354,620,611,0.570967741935484,9,"Franz Grüter",4162,"Fraktion der Schweizerischen Volkspartei"
"76","Franz Ruppen_Fraktion der Schweizerischen Volkspartei",395,633,609,0.624012638230648,24,"Franz Ruppen",4170,"Fraktion der Schweizerischen Volkspartei"
"77","Frédéric Borloz_FDP-Liberale Fraktion",546,563,561,0.969804618117229,2,"Frédéric Borloz",4188,"FDP-Liberale Fraktion"
"78","Géraldine Marchand-Balet_CVP-Fraktion",597,608,605,0.981907894736842,3,"Géraldine Marchand-Balet",4183,"CVP-Fraktion"
"79","Gerhard Pfister_CVP-Fraktion",503,531,515,0.947269303201507,16,"Gerhard Pfister",1109,"CVP-Fraktion"
"80","Giovanni Merlini_FDP-Liberale Fraktion",496,510,507,0.972549019607843,3,"Giovanni Merlini",4140,"FDP-Liberale Fraktion"
"81","Gregor Rutz_Fraktion der Schweizerischen Volkspartei",327,609,593,0.536945812807882,16,"Gregor Rutz",4125,"Fraktion der Schweizerischen Volkspartei"
"82","Guillaume Barazzone_CVP-Fraktion",571,584,579,0.977739726027397,5,"Guillaume Barazzone",4138,"CVP-Fraktion"
"83","Guy Parmelin_Fraktion der Schweizerischen Volkspartei",8,10,9,0.8,1,"Guy Parmelin",1108,"Fraktion der Schweizerischen Volkspartei"
"84","Hans-Peter Portmann_FDP-Liberale Fraktion",551,593,591,0.929173693086003,2,"Hans-Peter Portmann",4141,"FDP-Liberale Fraktion"
"85","Hans-Ueli Vogt_Fraktion der Schweizerischen Volkspartei",338,591,543,0.571912013536379,48,"Hans-Ueli Vogt",4176,"Fraktion der Schweizerischen Volkspartei"
"86","Hans-Ulrich Bigler_FDP-Liberale Fraktion",520,595,592,0.873949579831933,3,"Hans-Ulrich Bigler",4209,"FDP-Liberale Fraktion"
"87","Hans Egloff_Fraktion der Schweizerischen Volkspartei",367,607,585,0.604612850082372,22,"Hans Egloff",4110,"Fraktion der Schweizerischen Volkspartei"
"88","Hans Grunder_Fraktion BD",476,494,488,0.963562753036437,6,"Hans Grunder",3886,"Fraktion BD"
"89","Hansjörg Brunner_FDP-Liberale Fraktion",255,269,269,0.947955390334573,0,"Hansjörg Brunner",4215,"FDP-Liberale Fraktion"
"90","Hansjörg Knecht_Fraktion der Schweizerischen Volkspartei",364,614,604,0.592833876221498,10,"Hansjörg Knecht",4114,"Fraktion der Schweizerischen Volkspartei"
"91","Hansjörg Walter_Fraktion der Schweizerischen Volkspartei",211,355,339,0.594366197183099,16,"Hansjörg Walter",519,"Fraktion der Schweizerischen Volkspartei"
"92","Heinz Brand_Fraktion der Schweizerischen Volkspartei",373,603,582,0.618573797678275,21,"Heinz Brand",4067,"Fraktion der Schweizerischen Volkspartei"
"93","Heinz Siegenthaler_Fraktion BD",307,313,312,0.980830670926518,1,"Heinz Siegenthaler",4146,"Fraktion BD"
"94","Hermann Hess_FDP-Liberale Fraktion",297,334,334,0.889221556886228,0,"Hermann Hess",4192,"FDP-Liberale Fraktion"
"95","Hugues Hiltpold_FDP-Liberale Fraktion",607,626,626,0.969648562300319,0,"Hugues Hiltpold",3888,"FDP-Liberale Fraktion"
"96","Ida Glanzmann-Hunkeler_CVP-Fraktion",581,599,593,0.969949916527546,6,"Ida Glanzmann-Hunkeler",1337,"CVP-Fraktion"
"97","Ignazio Cassis_FDP-Liberale Fraktion",299,311,311,0.961414790996785,0,"Ignazio Cassis",3828,"FDP-Liberale Fraktion"
"98","Irène Kälin_Grüne Fraktion",180,247,235,0.728744939271255,12,"Irène Kälin",4218,"Grüne Fraktion"
"99","Isabelle Chevalley_Grünliberale Fraktion",566,595,589,0.951260504201681,6,"Isabelle Chevalley",4108,"Grünliberale Fraktion"
"100","Isabelle Moret_FDP-Liberale Fraktion",549,563,562,0.975133214920071,1,"Isabelle Moret",1346,"FDP-Liberale Fraktion"
"101","Jacqueline Badran_Sozialdemokratische Fraktion",480,584,549,0.821917808219178,35,"Jacqueline Badran",4058,"Sozialdemokratische Fraktion"
"102","Jacques-André Maire_Sozialdemokratische Fraktion",526,624,590,0.842948717948718,34,"Jacques-André Maire",4018,"Sozialdemokratische Fraktion"
"103","Jacques Bourgeois_FDP-Liberale Fraktion",613,630,622,0.973015873015873,8,"Jacques Bourgeois",3872,"FDP-Liberale Fraktion"
"104","Jacques Nicolet_Fraktion der Schweizerischen Volkspartei",389,610,589,0.637704918032787,21,"Jacques Nicolet",4168,"Fraktion der Schweizerischen Volkspartei"
"105","Jakob Büchler_CVP-Fraktion",359,374,368,0.959893048128342,6,"Jakob Büchler",1104,"CVP-Fraktion"
"106","Jean-François Rime_Fraktion der Schweizerischen Volkspartei",346,545,528,0.634862385321101,17,"Jean-François Rime",1119,"Fraktion der Schweizerischen Volkspartei"
"107","Jean-François Steiert_Sozialdemokratische Fraktion",142,171,159,0.830409356725146,12,"Jean-François Steiert",3865,"Sozialdemokratische Fraktion"
"108","Jean-Luc Addor_Fraktion der Schweizerischen Volkspartei",364,621,606,0.586151368760064,15,"Jean-Luc Addor",4154,"Fraktion der Schweizerischen Volkspartei"
"109","Jean-Paul Gschwind_CVP-Fraktion",615,631,625,0.974643423137876,6,"Jean-Paul Gschwind",4087,"CVP-Fraktion"
"110","Jean-Pierre Grin_Fraktion der Schweizerischen Volkspartei",415,614,587,0.675895765472313,27,"Jean-Pierre Grin",3885,"Fraktion der Schweizerischen Volkspartei"
"111","Jean Christophe Schwaab_Sozialdemokratische Fraktion",305,364,343,0.837912087912088,21,"Jean Christophe Schwaab",4115,"Sozialdemokratische Fraktion"
"112","Jonas Fricker_Grüne Fraktion",290,343,335,0.845481049562682,8,"Jonas Fricker",4185,"Grüne Fraktion"
"113","Jürg Grossen_Grünliberale Fraktion",567,602,597,0.941860465116279,5,"Jürg Grossen",4083,"Grünliberale Fraktion"
"114","Jürg Stahl_Fraktion der Schweizerischen Volkspartei",222,349,327,0.636103151862464,22,"Jürg Stahl",514,"Fraktion der Schweizerischen Volkspartei"
"115","Karl Vogler_CVP-Fraktion",616,635,624,0.97007874015748,11,"Karl Vogler",4085,"CVP-Fraktion"
"116","Kathrin Bertschy_Grünliberale Fraktion",468,510,500,0.917647058823529,10,"Kathrin Bertschy",4102,"Grünliberale Fraktion"
"117","Kathy Riklin_CVP-Fraktion",578,596,590,0.969798657718121,6,"Kathy Riklin",502,"CVP-Fraktion"
"118","Kurt Fluri_FDP-Liberale Fraktion",479,511,509,0.937377690802348,2,"Kurt Fluri",1122,"FDP-Liberale Fraktion"
"119","Laurence Fehlmann Rielle_Sozialdemokratische Fraktion",520,630,601,0.825396825396825,29,"Laurence Fehlmann Rielle",4195,"Sozialdemokratische Fraktion"
"120","Laurent Wehrli_FDP-Liberale Fraktion",602,617,611,0.975688816855754,6,"Laurent Wehrli",4194,"FDP-Liberale Fraktion"
"121","Leo Müller_CVP-Fraktion",589,607,601,0.970345963756178,6,"Leo Müller",4097,"CVP-Fraktion"
"122","Lisa Mazzone_Grüne Fraktion",456,578,550,0.788927335640138,28,"Lisa Mazzone",4186,"Grüne Fraktion"
"123","Lorenz Hess_Fraktion BD",543,555,551,0.978378378378378,4,"Lorenz Hess",4094,"Fraktion BD"
"124","Lorenzo Quadri_Fraktion der Schweizerischen Volkspartei",366,602,585,0.60797342192691,17,"Lorenzo Quadri",4046,"Fraktion der Schweizerischen Volkspartei"
"125","Louis Schelbert_Grüne Fraktion",331,390,371,0.848717948717949,19,"Louis Schelbert",1318,"Grüne Fraktion"
"126","Lukas Reimann_Fraktion der Schweizerischen Volkspartei",299,599,598,0.499165275459099,1,"Lukas Reimann",3901,"Fraktion der Schweizerischen Volkspartei"
"127","Luzi Stamm_Fraktion der Schweizerischen Volkspartei",314,556,538,0.564748201438849,18,"Luzi Stamm",214,"Fraktion der Schweizerischen Volkspartei"
"128","Magdalena Martullo-Blocher_Fraktion der Schweizerischen Volkspartei",359,620,594,0.579032258064516,26,"Magdalena Martullo-Blocher",4167,"Fraktion der Schweizerischen Volkspartei"
"129","Maja Ingold_CVP-Fraktion",324,340,336,0.952941176470588,4,"Maja Ingold",4031,"CVP-Fraktion"
"130","Manfred Bühler_Fraktion der Schweizerischen Volkspartei",387,586,577,0.660409556313993,9,"Manfred Bühler",4157,"Fraktion der Schweizerischen Volkspartei"
"131","Manuel Tornare_Sozialdemokratische Fraktion",499,590,572,0.845762711864407,18,"Manuel Tornare",4113,"Sozialdemokratische Fraktion"
"132","Marcel Dettling_Fraktion der Schweizerischen Volkspartei",338,622,615,0.543408360128617,7,"Marcel Dettling",4160,"Fraktion der Schweizerischen Volkspartei"
"133","Marcel Dobler_FDP-Liberale Fraktion",581,631,631,0.920760697305864,0,"Marcel Dobler",4190,"FDP-Liberale Fraktion"
"134","Marco Chiesa_Fraktion der Schweizerischen Volkspartei",387,617,603,0.627228525121556,14,"Marco Chiesa",4159,"Fraktion der Schweizerischen Volkspartei"
"135","Marco Romano_CVP-Fraktion",601,626,615,0.960063897763578,11,"Marco Romano",4120,"CVP-Fraktion"
"136","Margret Kiener Nellen_Sozialdemokratische Fraktion",475,580,543,0.818965517241379,37,"Margret Kiener Nellen",1147,"Sozialdemokratische Fraktion"
"137","Marianne Streiff-Feller_CVP-Fraktion",581,628,612,0.92515923566879,16,"Marianne Streiff-Feller",4036,"CVP-Fraktion"
"138","Marina Carobbio Guscetti_Sozialdemokratische Fraktion",393,473,442,0.830866807610994,31,"Marina Carobbio Guscetti",3830,"Sozialdemokratische Fraktion"
"139","Markus Hausammann_Fraktion der Schweizerischen Volkspartei",379,614,575,0.617263843648209,39,"Markus Hausammann",4103,"Fraktion der Schweizerischen Volkspartei"
"140","Markus Ritter_CVP-Fraktion",590,611,600,0.965630114566285,11,"Markus Ritter",4052,"CVP-Fraktion"
"141","Martin Bäumle_Grünliberale Fraktion",487,527,519,0.924098671726755,8,"Martin Bäumle",1138,"Grünliberale Fraktion"
"142","Martin Candinas_CVP-Fraktion",587,606,600,0.968646864686469,6,"Martin Candinas",4070,"CVP-Fraktion"
"143","Martin Haab_Fraktion der Schweizerischen Volkspartei",44,48,48,0.916666666666667,0,"Martin Haab",4236,"Fraktion der Schweizerischen Volkspartei"
"144","Martin Landolt_Fraktion BD",545,559,555,0.974955277280859,4,"Martin Landolt",4008,"Fraktion BD"
"145","Martin Naef_Sozialdemokratische Fraktion",519,621,584,0.835748792270531,37,"Martin Naef",4106,"Sozialdemokratische Fraktion"
"146","Martina Munz_Sozialdemokratische Fraktion",520,623,594,0.834670947030498,29,"Martina Munz",4134,"Sozialdemokratische Fraktion"
"147","Mathias Reynard_Sozialdemokratische Fraktion",507,614,586,0.825732899022801,28,"Mathias Reynard",4091,"Sozialdemokratische Fraktion"
"148","Mattea Meyer_Sozialdemokratische Fraktion",481,602,571,0.799003322259136,31,"Mattea Meyer",4198,"Sozialdemokratische Fraktion"
"149","Matthias Aebischer_Sozialdemokratische Fraktion",511,602,576,0.848837209302326,26,"Matthias Aebischer",4049,"Sozialdemokratische Fraktion"
"150","Matthias Samuel Jauslin_FDP-Liberale Fraktion",606,635,635,0.954330708661417,0,"Matthias Samuel Jauslin",4208,"FDP-Liberale Fraktion"
"151","Mauro Tuena_Fraktion der Schweizerischen Volkspartei",364,632,620,0.575949367088608,12,"Mauro Tuena",4175,"Fraktion der Schweizerischen Volkspartei"
"152","Maximilian Reimann_Fraktion der Schweizerischen Volkspartei",365,605,576,0.603305785123967,29,"Maximilian Reimann",173,"Fraktion der Schweizerischen Volkspartei"
"153","Maya Graf_Grüne Fraktion",501,627,592,0.799043062200957,35,"Maya Graf",806,"Grüne Fraktion"
"154","Michaël Buffat_Fraktion der Schweizerischen Volkspartei",361,621,612,0.581320450885668,9,"Michaël Buffat",4156,"Fraktion der Schweizerischen Volkspartei"
"155","Michael Töngi_Grüne Fraktion",172,236,226,0.728813559322034,10,"Michael Töngi",4221,"Grüne Fraktion"
"156","Mike Egger_Fraktion der Schweizerischen Volkspartei",77,100,99,0.77,1,"Mike Egger",4229,"Fraktion der Schweizerischen Volkspartei"
"157","Min Li Marti_Sozialdemokratische Fraktion",501,601,567,0.833610648918469,34,"Min Li Marti",4197,"Sozialdemokratische Fraktion"
"158","Nadine Masshardt_Sozialdemokratische Fraktion",511,606,572,0.843234323432343,34,"Nadine Masshardt",4130,"Sozialdemokratische Fraktion"
"159","Nadja Pieren_Fraktion der Schweizerischen Volkspartei",358,632,619,0.566455696202532,13,"Nadja Pieren",4065,"Fraktion der Schweizerischen Volkspartei"
"160","Natalie Rickli_Fraktion der Schweizerischen Volkspartei",304,539,528,0.564007421150278,11,"Natalie Rickli",3902,"Fraktion der Schweizerischen Volkspartei"
"161","Nicolas Rochat Fernandez_Sozialdemokratische Fraktion",39,52,47,0.75,5,"Nicolas Rochat Fernandez",4232,"Sozialdemokratische Fraktion"
"162","Nicolo Paganini_CVP-Fraktion",230,236,235,0.974576271186441,1,"Nicolo Paganini",4222,"CVP-Fraktion"
"163","Niklaus-Samuel Gugger_CVP-Fraktion",230,250,241,0.92,9,"Niklaus-Samuel Gugger",4214,"CVP-Fraktion"
"164","Olivier Feller_FDP-Liberale Fraktion",547,567,565,0.964726631393298,2,"Olivier Feller",4077,"FDP-Liberale Fraktion"
"165","Peter Keller_Fraktion der Schweizerischen Volkspartei",365,622,582,0.586816720257235,40,"Peter Keller",4098,"Fraktion der Schweizerischen Volkspartei"
"166","Peter Schilliger_FDP-Liberale Fraktion",534,584,581,0.914383561643836,3,"Peter Schilliger",4124,"FDP-Liberale Fraktion"
"167","Petra Gössi_FDP-Liberale Fraktion",581,613,609,0.947797716150082,4,"Petra Gössi",4116,"FDP-Liberale Fraktion"
"168","Philipp Hadorn_Sozialdemokratische Fraktion",518,632,598,0.819620253164557,34,"Philipp Hadorn",4076,"Sozialdemokratische Fraktion"
"169","Philipp Kutter_CVP-Fraktion",185,189,188,0.978835978835979,1,"Philipp Kutter",4225,"CVP-Fraktion"
"170","Philipp Matthias Bregy_CVP-Fraktion",96,100,98,0.96,2,"Philipp Matthias Bregy",4230,"CVP-Fraktion"
"171","Philippe Bauer_FDP-Liberale Fraktion",571,631,628,0.904912836767036,3,"Philippe Bauer",4187,"FDP-Liberale Fraktion"
"172","Philippe Nantermod_FDP-Liberale Fraktion",517,620,564,0.833870967741935,56,"Philippe Nantermod",4193,"FDP-Liberale Fraktion"
"173","Pierre-Alain Fridez_Sozialdemokratische Fraktion",494,597,559,0.827470686767169,38,"Pierre-Alain Fridez",4074,"Sozialdemokratische Fraktion"
"174","Pierre-André Page_Fraktion der Schweizerischen Volkspartei",406,625,616,0.6496,9,"Pierre-André Page",4169,"Fraktion der Schweizerischen Volkspartei"
"175","Pirmin Schwander_Fraktion der Schweizerischen Volkspartei",312,627,623,0.497607655502392,4,"Pirmin Schwander",1159,"Fraktion der Schweizerischen Volkspartei"
"176","Prisca Birrer-Heimo_Sozialdemokratische Fraktion",485,591,549,0.820642978003384,42,"Prisca Birrer-Heimo",4030,"Sozialdemokratische Fraktion"
"177","Priska Seiler Graf_Sozialdemokratische Fraktion",526,629,594,0.836248012718601,35,"Priska Seiler Graf",4199,"Sozialdemokratische Fraktion"
"178","Raymond Clottu_Fraktion der Schweizerischen Volkspartei",382,629,608,0.60731319554849,21,"Raymond Clottu",4135,"Fraktion der Schweizerischen Volkspartei"
"179","Rebecca Ana Ruiz_Sozialdemokratische Fraktion",402,482,459,0.83402489626556,23,"Rebecca Ana Ruiz",4143,"Sozialdemokratische Fraktion"
"180","Regine Sauter_FDP-Liberale Fraktion",565,601,599,0.940099833610649,2,"Regine Sauter",4202,"FDP-Liberale Fraktion"
"181","Regula Rytz_Grüne Fraktion",471,594,568,0.792929292929293,26,"Regula Rytz",4095,"Grüne Fraktion"
"182","Roberta Pantani_Fraktion der Schweizerischen Volkspartei",409,628,617,0.651273885350318,11,"Roberta Pantani",4073,"Fraktion der Schweizerischen Volkspartei"
"183","Roberto Schmidt_CVP-Fraktion",262,272,267,0.963235294117647,5,"Roberto Schmidt",3905,"CVP-Fraktion"
"184","Rocco Cattaneo_FDP-Liberale Fraktion",234,244,244,0.959016393442623,0,"Rocco Cattaneo",4217,"FDP-Liberale Fraktion"
"185","Roger Golay_Fraktion der Schweizerischen Volkspartei",370,619,593,0.597738287560582,26,"Roger Golay",4137,"Fraktion der Schweizerischen Volkspartei"
"186","Roger Köppel_Fraktion der Schweizerischen Volkspartei",297,510,497,0.582352941176471,13,"Roger Köppel",4166,"Fraktion der Schweizerischen Volkspartei"
"187","Roger Nordmann_Sozialdemokratische Fraktion",525,620,589,0.846774193548387,31,"Roger Nordmann",1279,"Sozialdemokratische Fraktion"
