"","ident","Successes","anwesend","valid","Sucess_share","enthaltung","Name","PersonNumber","ParlGroupName"
"1","Ada Marra_Sozialdemokratische Fraktion",2089,4066,3995,0.513772749631087,71,"Ada Marra",3923,"Sozialdemokratische Fraktion"
"2","Adèle Thorens Goumaz_Grüne Fraktion",2145,4122,4031,0.52037845705968,91,"Adèle Thorens Goumaz",3907,"Grüne Fraktion"
"3","Adrian Amstutz_Fraktion der Schweizerischen Volkspartei",2632,4063,4035,0.647797194191484,28,"Adrian Amstutz",1135,"Fraktion der Schweizerischen Volkspartei"
"4","Adrian Wüthrich_Sozialdemokratische Fraktion",627,1171,1152,0.535439795046968,19,"Adrian Wüthrich",4226,"Sozialdemokratische Fraktion"
"5","Albert Rösti_Fraktion der Schweizerischen Volkspartei",2592,3970,3951,0.652896725440806,19,"Albert Rösti",4100,"Fraktion der Schweizerischen Volkspartei"
"6","Albert Vitali_FDP-Liberale Fraktion",3193,3730,3699,0.856032171581769,31,"Albert Vitali",4054,"FDP-Liberale Fraktion"
"7","Alexander Tschäppät_Sozialdemokratische Fraktion",1370,2586,2539,0.529775715390565,47,"Alexander Tschäppät",224,"Sozialdemokratische Fraktion"
"8","Alfred Heer_Fraktion der Schweizerischen Volkspartei",2256,3555,3494,0.634599156118143,61,"Alfred Heer",3887,"Fraktion der Schweizerischen Volkspartei"
"9","Alice Glauser-Zufferey_Fraktion der Schweizerischen Volkspartei",2606,3888,3832,0.670267489711934,56,"Alice Glauser-Zufferey",3883,"Fraktion der Schweizerischen Volkspartei"
"10","Aline Trede_Grüne Fraktion",656,1359,1326,0.48270787343635,33,"Aline Trede",4128,"Grüne Fraktion"
"11","Alois Gmür_CVP-Fraktion",3408,4057,4015,0.840029578506285,42,"Alois Gmür",4096,"CVP-Fraktion"
"12","Andrea Gmür-Schönenberger_CVP-Fraktion",3445,4085,4051,0.843329253365973,34,"Andrea Gmür-Schönenberger",4181,"CVP-Fraktion"
"13","Andrea Martina Geissbühler_Fraktion der Schweizerischen Volkspartei",2492,3834,3773,0.649973917579551,61,"Andrea Martina Geissbühler",3880,"Fraktion der Schweizerischen Volkspartei"
"14","Andreas Aebi_Fraktion der Schweizerischen Volkspartei",2642,3954,3872,0.668184117349519,82,"Andreas Aebi",3867,"Fraktion der Schweizerischen Volkspartei"
"15","Andreas Glarner_Fraktion der Schweizerischen Volkspartei",2639,4119,4103,0.640689487739743,16,"Andreas Glarner",4161,"Fraktion der Schweizerischen Volkspartei"
"16","Angelo Barrile_Sozialdemokratische Fraktion",2099,4099,4013,0.512076116125884,86,"Angelo Barrile",4203,"Sozialdemokratische Fraktion"
